,C1,C2,C3,C4,C5,C6,C7,C8,Timestamp,effort
2400,172918.8125,-16496.8515625,201281.578125,188373.34375,180233.78125,157580.34375,173211.40625,205081.96875,1133318.20318478,1.0
2401,172931.40625,-16526.65234375,201260.546875,188353.234375,180260.875,157585.359375,173233.8125,205108.953125,1133332.20518478,1.0
2402,172952.140625,-16569.42578125,201232.75,188325.71875,180289.09375,157596.796875,173267.390625,205145.234375,1133345.20718478,1.0
2403,172965.359375,-16607.095703125,201207.515625,188299.109375,180305.125,157604.28125,173285.59375,205163.6875,1133357.20918478,1.0
2404,172971.3125,-16628.171875,201193.265625,188284.140625,180309.890625,157609.8125,173291.84375,205169.21875,1133371.21118478,1.0
2405,172966.734375,-16630.412109375,201192.453125,188281.984375,180297.921875,157608.484375,173284.5,205161.015625,1133382.21318478,1.0
2406,172954.34375,-16614.34375,201204.03125,188292.328125,180277.515625,157601.515625,173263.234375,205139.859375,1133397.21518478,1.0
2407,172945.140625,-16576.86328125,201231.21875,188318.46875,180256.90625,157593.265625,173241.296875,205115.390625,1133412.21718478,1.0
2408,172936.265625,-16532.66015625,201261.5,188350.21875,180237.265625,157584.640625,173219.359375,205092.3125,1133424.21918478,1.0
2409,172920.765625,-16507.9609375,201275.234375,188363.71875,180219.625,157571.375,173199.046875,205073.8125,1133439.22118478,1.0
2410,172911.8125,-16507.435546875,201272.078125,188361.578125,180221.71875,157566.140625,173200.96875,205077.71875,1133452.22318478,1.0
2411,172925.59375,-16527.75,201258.546875,188349.40625,180247.28125,157577.25,173227.234375,205104.46875,1133467.22518478,1.0
2412,172944.28125,-16568.853515625,201232.171875,188323.046875,180277.984375,157591.078125,173256.9375,205134.46875,1133479.22718478,1.0
2413,172958.828125,-16610.576171875,201202.421875,188293.28125,180302.359375,157603.140625,173282.359375,205159.015625,1133491.22918478,1.0
2414,172972.84375,-16634.1796875,201187.203125,188276.078125,180316.703125,157613.71875,173295.65625,205170.796875,1133506.23118478,1.0
2415,172979.90625,-16629.173828125,201194.171875,188281.03125,180315.140625,157621.265625,173295.953125,205170.375,1133517.23318478,1.0
2416,172975.03125,-16609.00390625,201209.765625,188294.234375,180295.203125,157617.734375,173275.6875,205150.859375,1133534.23518478,1.0
2417,172963.203125,-16571.09375,201240.515625,188322.796875,180269.21875,157610.578125,173249.21875,205123.640625,1133545.23718478,1.0
2418,172947.234375,-16526.748046875,201270.265625,188352.796875,180238.546875,157595.40625,173218.5625,205092.640625,1133559.23918478,1.0
2419,172929.640625,-16502.4296875,201281.046875,188365.671875,180215.421875,157576.15625,173195.53125,205070.0,1133574.24118478,1.0
2420,172930.5,-16497.708984375,201282.765625,188369.25,180222.671875,157573.046875,173199.71875,205075.484375,1133586.24318478,1.0
2421,172939.328125,-16530.181640625,201259.546875,188347.03125,180243.5625,157574.484375,173219.46875,205096.84375,1133597.24518478,1.0
2422,172963.109375,-16573.62109375,201231.359375,188317.703125,180283.515625,157589.078125,173258.84375,205136.375,1133614.24718478,1.0
2423,172978.84375,-16607.095703125,201209.859375,188296.53125,180310.46875,157605.140625,173287.125,205164.125,1133625.24918478,1.0
2424,172991.390625,-16631.556640625,201194.5,188278.171875,180316.421875,157612.578125,173294.515625,205171.078125,1133640.25118478,1.0
